,BR,HA,HC,HW,L4,LN,NP,O2,RS,T3,VL
,MC,MC,MC,MC,MC,MC,MC,MC,MCBAM,MC,MC-SHARP
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
01/01/13 12:00 AM,16.5,13.7,4.6,27.7,26.8,16.1,12.2,25.1,18.7,18,32.9
01/01/13 01:00 AM,17.4,10.7,2.9,19.2,33.8,16.6,17.3,21.9,20.4,16.8,31.9
01/01/13 02:00 AM,10.6,13.9,4.3,18.9,35.2,15.5,23.8,23.7,12.5,7.6,28.9
01/01/13 03:00 AM,15.3,14,1.3,18.5,34.1,16.5,23,20.1,12.2,8.8,27.9
01/01/13 04:00 AM,13.8,21.3,3.6,26.7,34.8,19.6,19.7,18.4,13.5,7.4,29.3
01/01/13 05:00 AM,15.1,19.3,5.3,29.1,34.5,24.4,15.9,19.2,15.3,7,26.9
01/01/13 06:00 AM,19.4,18.4,3.5,24.7,32.1,21.3,15.5,19.8,15.6,9.2,25.9
01/01/13 07:00 AM,21.6,17.7,5,21.7,23.1,17.8,12.2,18.2,12.5,9.5,24.6
01/01/13 08:00 AM,24.2,18.1,5.3,24.3,25.9,20,10.4,19.2,14.6,10.6,25.5
01/01/13 09:00 AM,23.7,18.4,6.6,22,30.5,25.7,13.5,21.7,12.7,12.1,25.3
01/01/13 10:00 AM,24.3,18.6,5.2,26.4,34,25.7,13.1,24.6,15,11.3,24.1
01/01/13 11:00 AM,25.4,16.7,2.8,22.8,26.8,28.3,15,22.9,21.2,12.3,23.5
01/01/13 12:00 PM,30.2,15.1,7.8,25.2,26.6,25.3,16.2,17,12.7,11.5,21.5
01/01/13 01:00 PM,26.9,14,3.7,21.6,31.4,19.6,16.7,21.2,13.9,9.3,19.9
01/01/13 02:00 PM,20.4,16.4,2.8,24.4,29.4,17.3,21.5,20.3,13,11.1,19
01/01/13 03:00 PM,15.8,14.6,0.9,20.7,27.9,21.1,17.6,23,12,11.6,18.7
01/01/13 04:00 PM,12.7,14.5,-1.7,24.7,29.3,23.9,17.4,20.7,13.8,12.5,19
01/01/13 05:00 PM,9.6,15.4,4,18.4,34.1,24.4,19.9,16.7,20.6,16.4,20.2
01/01/13 06:00 PM,9.6,17.1,2.6,32.6,33.2,27.6,24.2,12.8,27.3,17.9,21.6
01/01/13 07:00 PM,10.9,15.3,1.3,16.8,29.3,28.5,22.9,12,34.2,16,25.6
01/01/13 08:00 PM,13.3,16.6,1.2,20.3,28.8,33.3,27,17.7,19.4,13.2,30.2
01/01/13 09:00 PM,8.3,18.5,4.3,21.6,31.3,40.3,27.7,23.9,23.8,13.6,32
01/01/13 10:00 PM,9.7,19.1,8.2,28.3,33.7,31.7,28,28.3,37.1,13.1,29.6
01/01/13 11:00 PM,13.7,18.3,7,22.3,36,27.5,30.5,31.7,26.9,13.9,25.2
01/02/13 12:00 AM,10.4,18,1.6,25.7,33.5,30.4,27.8,26.1,18.5,13.6,23.2
01/02/13 01:00 AM,8.4,18.3,5.4,23.5,33.9,30.3,25.6,25.8,16.1,9.5,28.6
01/02/13 02:00 AM,12.4,16.8,9.5,26,37.3,31.9,24,26.2,14.6,9.6,33.8
01/02/13 03:00 AM,14.3,14.7,8.5,18.8,33.5,20.8,23.3,25,24.5,9.7,33.7
01/02/13 04:00 AM,11.3,16.4,9.8,21.1,27.9,16.7,21.9,23.9,23.1,12.8,30
01/02/13 05:00 AM,13.8,19.5,6.3,12.3,26,36.4,23.5,27.2,18.7,13.3,29.7
01/02/13 06:00 AM,18.3,19,12.6,10.3,26.1,28.4,21.5,26.1,22,14.7,28.6
01/02/13 07:00 AM,19.4,19.2,6.3,13.4,29.6,12,17.4,26.6,21.7,13.3,28.5
01/02/13 08:00 AM,19.2,20.7,7,13.9,28.2,15.6,15.9,29,25.5,13.8,29.6
01/02/13 09:00 AM,20.7,22.1,12.6,39.7,26,21.8,17.9,27.3,31.1,12,31.2
01/02/13 10:00 AM,21.2,18.9,8.2,36,23.1,33.8,25.5,27.4,28.2,11.5,29.4
01/02/13 11:00 AM,15.4,20.5,1.8,25.3,18.8,32.3,25.2,20.2,20.1,11.2,27.2
01/02/13 12:00 PM,19.5,22.8,2.2,37.8,23.4,29.5,22,24,15.3,10.5,25.2
01/02/13 01:00 PM,21.1,19.4,2.7,37.8,24,30.2,20.5,23.8,16.8,12.9,23.7
01/02/13 02:00 PM,21.9,14,6.2,25.3,23.2,27.4,21.2,22.1,16.6,16.8,22.1
01/02/13 03:00 PM,22.2,14.9,4.2,20.1,22.7,29.1,27.5,23.5,16.4,17.3,21.5
01/02/13 04:00 PM,20.4,19.2,5.7,27.2,24.2,31,23.7,24,15.9,17.7,20.9
01/02/13 05:00 PM,17.5,19.9,4.7,24.6,34.8,27.6,24.1,24.2,17.7,22.7,21.2
01/02/13 06:00 PM,18,19.3,5.2,26.7,30.9,32.7,23.4,28.8,23.9,31.1,23.3
01/02/13 07:00 PM,17.3,18.2,1.1,21.2,24.5,30.8,28,27.3,24.9,33.7,26.6
01/02/13 08:00 PM,12.1,18.2,1,25.5,28.9,37.5,29.2,28.1,24.6,26.8,36.1
01/02/13 09:00 PM,12.5,2.5,2.6,22.5,32.9,37.7,28.7,29.5,32.8,16.6,44.2
01/02/13 10:00 PM,11.4,0.1,4.7,28,30.2,35.4,26.4,27.3,28.1,20.2,43.3
01/02/13 11:00 PM,11.1,0.1,6.6,27.8,24.3,40.2,30.6,30.4,25.9,23.3,44.3
01/03/13 12:00 AM,7.5,0.1,3.1,31.6,21.6,46.3,27.3,28.9,21.9,20.1,47.5
01/03/13 01:00 AM,9.6,0.1,1.9,25.8,26.9,45,29,26.8,19.1,18.5,40.1
01/03/13 02:00 AM,9.3,0.1,3.8,16.2,30.3,37.7,28,23.3,22.8,12.3,38.5
01/03/13 03:00 AM,12.8,0.1,1.9,,30.3,30.6,36.2,26.8,18.2,13.4,31.8
01/03/13 04:00 AM,10.5,0.1,2.8,,31.2,23,32.2,24.7,16.3,12.4,27.4
01/03/13 05:00 AM,12.3,0.1,3.9,40,35.1,32.5,29.2,23.2,15.4,15.7,25.1
01/03/13 06:00 AM,16.4,0.1,6.2,34.4,33.9,32.1,27.6,22.8,23.1,17.2,26.3
01/03/13 07:00 AM,18,0.1,5.8,2.2,35.6,18,27.4,29.2,24.9,17,26.8
01/03/13 08:00 AM,17.6,0.1,2.6,24.6,39.6,27.2,28.3,21.9,24,19.1,24.6
01/03/13 09:00 AM,14.6,0.1,4.2,42.2,37.9,32.7,24.1,22.7,25.5,20.1,19.6
01/03/13 10:00 AM,24.2,0.1,11.5,44.2,37.5,45.6,25.1,27.7,22.4,15.9,19.4
01/03/13 11:00 AM,22.9,0.1,5.4,44.3,36.2,47,32.4,33.4,18.2,17.4,23.3
01/03/13 12:00 PM,22.7,10.8,4.5,45.5,39,44.7,34.4,38.9,17.9,19.4,23.9
01/03/13 01:00 PM,27.7,21.3,5.2,34.7,39,41.4,33.9,34.5,14.9,18.1,22.9
01/03/13 02:00 PM,26,20.5,5.1,36.7,34.5,39,34.4,36,15.5,18.9,22.2
01/03/13 03:00 PM,21.2,24.3,0.9,40.8,32.1,40.6,36.6,36.9,15.5,20.6,22.1
01/03/13 04:00 PM,22.3,23.4,0.2,33.2,32.9,44.1,38.5,36.2,15.2,20.5,22.5
01/03/13 05:00 PM,23.6,26.7,1.5,34.5,37,47,38.4,40.4,16.9,20.1,23
01/03/13 06:00 PM,21.2,35.1,4,42.6,38.6,43.7,40.9,38.2,17,27.7,23.9
01/03/13 07:00 PM,21.4,36.4,5.3,45,36.4,45.1,42.6,43,22,31.3,26.3
01/03/13 08:00 PM,20.7,36.8,6.2,44.9,35.3,46.3,41.6,46,25.8,37.5,32.2
01/03/13 09:00 PM,23.1,40.4,4.8,44.4,35.2,45.1,38.1,48.4,21,42.7,40.2
01/03/13 10:00 PM,19.8,43.6,8.9,36.6,46.1,49.3,41.8,49.9,31.8,35.7,40.7
01/03/13 11:00 PM,19.4,37.7,3.4,43.8,44.6,47.6,43.6,55.2,35,29.8,41.2
01/04/13 12:00 AM,18.9,30.8,7.9,37.1,40.5,42.5,41.8,49.2,26.2,25.5,37.5
01/04/13 01:00 AM,18.1,33.7,8.4,36.7,38.8,41.9,40.9,36.3,25.6,22,47.1
01/04/13 02:00 AM,18,30.8,9.3,34,37.2,46.4,41.6,29.2,29.3,19.6,39.5
01/04/13 03:00 AM,18.2,30.4,8.4,26.5,36.6,41.9,46.8,27,24,19.1,35.9
01/04/13 04:00 AM,21.7,27.3,8.5,22.7,37.6,41.5,46,19.6,21.7,19.1,30.4
01/04/13 05:00 AM,27,27.8,5,20.6,38,44.5,46,21.3,22,18.9,29.1
01/04/13 06:00 AM,26,37.4,7.6,23.6,34.6,44.1,41.9,23.9,21.3,19.5,30.4
01/04/13 07:00 AM,19.1,41.1,10.2,25.6,35.7,31.4,44.3,18.6,19.7,21,31.2
01/04/13 08:00 AM,20,44.3,10.5,24.8,41,42.8,37.1,19,29.7,19,38.5
01/04/13 09:00 AM,21.7,46.1,8.5,25,42.4,55.8,38,23.8,23.9,21.3,38.7
01/04/13 10:00 AM,24.6,47.2,8.6,53.9,42,46.7,42.8,30.9,30.6,18.4,37.3
01/04/13 11:00 AM,20.1,47.6,5.6,60.9,50.4,52.7,47.4,26.3,29.4,17.8,30.9
01/04/13 12:00 PM,21.4,44.9,4.4,59.5,50.2,57.3,44.1,22.3,22.5,15.6,27.8
01/04/13 01:00 PM,20.2,44.6,4.8,59.1,50.7,59.9,46.1,29.3,19.5,18.7,26.3
01/04/13 02:00 PM,19.9,29.3,5.8,51.7,50.7,49.9,53.6,28,18.5,18.7,25.2
01/04/13 03:00 PM,19.6,28,8.3,37.8,52.4,50.3,44.7,24.3,18,18.9,25.6
01/04/13 04:00 PM,17.2,27.6,6.5,33.8,45.1,50.3,44.4,25.3,17.1,22.5,25
01/04/13 05:00 PM,15,27.8,5.6,37.2,45.5,48.7,48.6,28.7,18.8,28.7,24.4
01/04/13 06:00 PM,22.1,26.2,1.8,32.6,48.1,46.3,49.2,29.3,19.9,33.5,24.6
01/04/13 07:00 PM,24.1,30.6,3.7,35.8,53.3,50,47.4,33.3,22,40.5,25.6
